DOMINIO,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024
71,98.54330184,98.91871774,99.23868299,98.90223241,98.74187512,99.12328569,99.65456288,100.2359787,100.659896,101.1815635,102.0423649,102.7575382,102.845314,102.8163879,103.2123765,103.2672363,102.9699955,103.0358274,103.4228389,103.4058822,103.6771892,104.23676,105.0776123,105.6641143,102.4507382,102.8761445,102.8270592,101.7847175,102.1764378,102.7356257,103.4103086,103.8174282,104.0551552,104.6903773,104.7692989,105.1687188,102.5877315,103.2365261,104.0901052,104.4307921,104.6439542,105.2015266,105.8196035,106.0215955,106.6750442,107.5686494,108.8001489,109.1948245,103.9281381,104.7903748,105.8278771,106.4003529,106.5879488,107.4880569,108.2842386,109.0372645,109.7136667,110.3345827,110.9695905,111.3932226,103.9413913,104.5209477,104.8009306,104.7797074,104.5519662,104.6580822,105.1625411,105.7445463,106.2139053,106.6130645,107.2954717,108.0529763,103.3070424,103.4045055,103.7015359,103.911159
7112,98.54330184,98.91871774,99.23868299,98.90223241,98.74187512,99.12328569,99.65456288,100.2359787,100.659896,101.1815635,102.0423649,102.7575382,102.845314,102.8163879,103.2123765,103.2672363,102.9699955,103.0358274,103.4228389,103.4058822,103.6771892,104.23676,105.0776123,105.6641143,102.4507382,102.8761445,102.8270592,101.7847175,102.1764378,102.7356257,103.4103086,103.8174282,104.0551552,104.6903773,104.7692989,105.1687188,102.5877315,103.2365261,104.0901052,104.4307921,104.6439542,105.2015266,105.8196035,106.0215955,106.6750442,107.5686494,108.8001489,109.1948245,103.9281381,104.7903748,105.8278771,106.4003529,106.5879488,107.4880569,108.2842386,109.0372645,109.7136667,110.3345827,110.9695905,111.3932226,103.9413913,104.5209477,104.8009306,104.7797074,104.5519662,104.6580822,105.1625411,105.7445463,106.2139053,106.6130645,107.2954717,108.0529763,103.3070424,103.4045055,103.7015359,103.911159
7113,98.54330184,98.91871774,99.23868299,98.90223241,98.74187512,99.12328569,99.65456288,100.2359787,100.659896,101.1815635,102.0423649,102.7575382,102.845314,102.8163879,103.2123765,103.2672363,102.9699955,103.0358274,103.4228389,103.4058822,103.6771892,104.23676,105.0776123,105.6641143,102.4507382,102.8761445,102.8270592,101.7847175,102.1764378,102.7356257,103.4103086,103.8174282,104.0551552,104.6903773,104.7692989,105.1687188,102.5877315,103.2365261,104.0901052,104.4307921,104.6439542,105.2015266,105.8196035,106.0215955,106.6750442,107.5686494,108.8001489,109.1948245,103.9281381,104.7903748,105.8278771,106.4003529,106.5879488,107.4880569,108.2842386,109.0372645,109.7136667,110.3345827,110.9695905,111.3932226,103.9413913,104.5209477,104.8009306,104.7797074,104.5519662,104.6580822,105.1625411,105.7445463,106.2139053,106.6130645,107.2954717,108.0529763,103.3070424,103.4045055,103.7015359,103.911159
7121,98.54330184,98.91871774,99.23868299,98.90223241,98.74187512,99.12328569,99.65456288,100.2359787,100.659896,101.1815635,102.0423649,102.7575382,102.845314,102.8163879,103.2123765,103.2672363,102.9699955,103.0358274,103.4228389,103.4058822,103.6771892,104.23676,105.0776123,105.6641143,102.4507382,102.8761445,102.8270592,101.7847175,102.1764378,102.7356257,103.4103086,103.8174282,104.0551552,104.6903773,104.7692989,105.1687188,102.5877315,103.2365261,104.0901052,104.4307921,104.6439542,105.2015266,105.8196035,106.0215955,106.6750442,107.5686494,108.8001489,109.1948245,103.9281381,104.7903748,105.8278771,106.4003529,106.5879488,107.4880569,108.2842386,109.0372645,109.7136667,110.3345827,110.9695905,111.3932226,103.9413913,104.5209477,104.8009306,104.7797074,104.5519662,104.6580822,105.1625411,105.7445463,106.2139053,106.6130645,107.2954717,108.0529763,103.3070424,103.4045055,103.7015359,103.911159
7131,98.54330184,98.91871774,99.23868299,98.90223241,98.74187512,99.12328569,99.65456288,100.2359787,100.659896,101.1815635,102.0423649,102.7575382,102.845314,102.8163879,103.2123765,103.2672363,102.9699955,103.0358274,103.4228389,103.4058822,103.6771892,104.23676,105.0776123,105.6641143,102.4507382,102.8761445,102.8270592,101.7847175,102.1764378,102.7356257,103.4103086,103.8174282,104.0551552,104.6903773,104.7692989,105.1687188,102.5877315,103.2365261,104.0901052,104.4307921,104.6439542,105.2015266,105.8196035,106.0215955,106.6750442,107.5686494,108.8001489,109.1948245,103.9281381,104.7903748,105.8278771,106.4003529,106.5879488,107.4880569,108.2842386,109.0372645,109.7136667,110.3345827,110.9695905,111.3932226,103.9413913,104.5209477,104.8009306,104.7797074,104.5519662,104.6580822,105.1625411,105.7445463,106.2139053,106.6130645,107.2954717,108.0529763,103.3070424,103.4045055,103.7015359,103.911159
7132,98.54330184,98.91871774,99.23868299,98.90223241,98.74187512,99.12328569,99.65456288,100.2359787,100.659896,101.1815635,102.0423649,102.7575382,102.845314,102.8163879,103.2123765,103.2672363,102.9699955,103.0358274,103.4228389,103.4058822,103.6771892,104.23676,105.0776123,105.6641143,102.4507382,102.8761445,102.8270592,101.7847175,102.1764378,102.7356257,103.4103086,103.8174282,104.0551552,104.6903773,104.7692989,105.1687188,102.5877315,103.2365261,104.0901052,104.4307921,104.6439542,105.2015266,105.8196035,106.0215955,106.6750442,107.5686494,108.8001489,109.1948245,103.9281381,104.7903748,105.8278771,106.4003529,106.5879488,107.4880569,108.2842386,109.0372645,109.7136667,110.3345827,110.9695905,111.3932226,103.9413913,104.5209477,104.8009306,104.7797074,104.5519662,104.6580822,105.1625411,105.7445463,106.2139053,106.6130645,107.2954717,108.0529763,103.3070424,103.4045055,103.7015359,103.911159
7139,98.54330184,98.91871774,99.23868299,98.90223241,98.74187512,99.12328569,99.65456288,100.2359787,100.659896,101.1815635,102.0423649,102.7575382,102.845314,102.8163879,103.2123765,103.2672363,102.9699955,103.0358274,103.4228389,103.4058822,103.6771892,104.23676,105.0776123,105.6641143,102.4507382,102.8761445,102.8270592,101.7847175,102.1764378,102.7356257,103.4103086,103.8174282,104.0551552,104.6903773,104.7692989,105.1687188,102.5877315,103.2365261,104.0901052,104.4307921,104.6439542,105.2015266,105.8196035,106.0215955,106.6750442,107.5686494,108.8001489,109.1948245,103.9281381,104.7903748,105.8278771,106.4003529,106.5879488,107.4880569,108.2842386,109.0372645,109.7136667,110.3345827,110.9695905,111.3932226,103.9413913,104.5209477,104.8009306,104.7797074,104.5519662,104.6580822,105.1625411,105.7445463,106.2139053,106.6130645,107.2954717,108.0529763,103.3070424,103.4045055,103.7015359,103.911159
72,98.54330184,98.91871774,99.23868299,98.90223241,98.74187512,99.12328569,99.65456288,100.2359787,100.659896,101.1815635,102.0423649,102.7575382,102.845314,102.8163879,103.2123765,103.2672363,102.9699955,103.0358274,103.4228389,103.4058822,103.6771892,104.23676,105.0776123,105.6641143,102.4507382,102.8761445,102.8270592,101.7847175,102.1764378,102.7356257,103.4103086,103.8174282,104.0551552,104.6903773,104.7692989,105.1687188,102.5877315,103.2365261,104.0901052,104.4307921,104.6439542,105.2015266,105.8196035,106.0215955,106.6750442,107.5686494,108.8001489,109.1948245,103.9281381,104.7903748,105.8278771,106.4003529,106.5879488,107.4880569,108.2842386,109.0372645,109.7136667,110.3345827,110.9695905,111.3932226,103.9413913,104.5209477,104.8009306,104.7797074,104.5519662,104.6580822,105.1625411,105.7445463,106.2139053,106.6130645,107.2954717,108.0529763,103.3070424,103.4045055,103.7015359,103.911159
7211,98.54330184,98.91871774,99.23868299,98.90223241,98.74187512,99.12328569,99.65456288,100.2359787,100.659896,101.1815635,102.0423649,102.7575382,102.845314,102.8163879,103.2123765,103.2672363,102.9699955,103.0358274,103.4228389,103.4058822,103.6771892,104.23676,105.0776123,105.6641143,102.4507382,102.8761445,102.8270592,101.7847175,102.1764378,102.7356257,103.4103086,103.8174282,104.0551552,104.6903773,104.7692989,105.1687188,102.5877315,103.2365261,104.0901052,104.4307921,104.6439542,105.2015266,105.8196035,106.0215955,106.6750442,107.5686494,108.8001489,109.1948245,103.9281381,104.7903748,105.8278771,106.4003529,106.5879488,107.4880569,108.2842386,109.0372645,109.7136667,110.3345827,110.9695905,111.3932226,103.9413913,104.5209477,104.8009306,104.7797074,104.5519662,104.6580822,105.1625411,105.7445463,106.2139053,106.6130645,107.2954717,108.0529763,103.3070424,103.4045055,103.7015359,103.911159
7224,98.54330184,98.91871774,99.23868299,98.90223241,98.74187512,99.12328569,99.65456288,100.2359787,100.659896,101.1815635,102.0423649,102.7575382,102.845314,102.8163879,103.2123765,103.2672363,102.9699955,103.0358274,103.4228389,103.4058822,103.6771892,104.23676,105.0776123,105.6641143,102.4507382,102.8761445,102.8270592,101.7847175,102.1764378,102.7356257,103.4103086,103.8174282,104.0551552,104.6903773,104.7692989,105.1687188,102.5877315,103.2365261,104.0901052,104.4307921,104.6439542,105.2015266,105.8196035,106.0215955,106.6750442,107.5686494,108.8001489,109.1948245,103.9281381,104.7903748,105.8278771,106.4003529,106.5879488,107.4880569,108.2842386,109.0372645,109.7136667,110.3345827,110.9695905,111.3932226,103.9413913,104.5209477,104.8009306,104.7797074,104.5519662,104.6580822,105.1625411,105.7445463,106.2139053,106.6130645,107.2954717,108.0529763,103.3070424,103.4045055,103.7015359,103.911159
7225,98.54330184,98.91871774,99.23868299,98.90223241,98.74187512,99.12328569,99.65456288,100.2359787,100.659896,101.1815635,102.0423649,102.7575382,102.845314,102.8163879,103.2123765,103.2672363,102.9699955,103.0358274,103.4228389,103.4058822,103.6771892,104.23676,105.0776123,105.6641143,102.4507382,102.8761445,102.8270592,101.7847175,102.1764378,102.7356257,103.4103086,103.8174282,104.0551552,104.6903773,104.7692989,105.1687188,102.5877315,103.2365261,104.0901052,104.4307921,104.6439542,105.2015266,105.8196035,106.0215955,106.6750442,107.5686494,108.8001489,109.1948245,103.9281381,104.7903748,105.8278771,106.4003529,106.5879488,107.4880569,108.2842386,109.0372645,109.7136667,110.3345827,110.9695905,111.3932226,103.9413913,104.5209477,104.8009306,104.7797074,104.5519662,104.6580822,105.1625411,105.7445463,106.2139053,106.6130645,107.2954717,108.0529763,103.3070424,103.4045055,103.7015359,103.911159
81,98.54330184,98.91871774,99.23868299,98.90223241,98.74187512,99.12328569,99.65456288,100.2359787,100.659896,101.1815635,102.0423649,102.7575382,102.845314,102.8163879,103.2123765,103.2672363,102.9699955,103.0358274,103.4228389,103.4058822,103.6771892,104.23676,105.0776123,105.6641143,102.4507382,102.8761445,102.8270592,101.7847175,102.1764378,102.7356257,103.4103086,103.8174282,104.0551552,104.6903773,104.7692989,105.1687188,102.5877315,103.2365261,104.0901052,104.4307921,104.6439542,105.2015266,105.8196035,106.0215955,106.6750442,107.5686494,108.8001489,109.1948245,103.9281381,104.7903748,105.8278771,106.4003529,106.5879488,107.4880569,108.2842386,109.0372645,109.7136667,110.3345827,110.9695905,111.3932226,103.9413913,104.5209477,104.8009306,104.7797074,104.5519662,104.6580822,105.1625411,105.7445463,106.2139053,106.6130645,107.2954717,108.0529763,103.3070424,103.4045055,103.7015359,103.911159
811,98.54330184,98.91871774,99.23868299,98.90223241,98.74187512,99.12328569,99.65456288,100.2359787,100.659896,101.1815635,102.0423649,102.7575382,102.845314,102.8163879,103.2123765,103.2672363,102.9699955,103.0358274,103.4228389,103.4058822,103.6771892,104.23676,105.0776123,105.6641143,102.4507382,102.8761445,102.8270592,101.7847175,102.1764378,102.7356257,103.4103086,103.8174282,104.0551552,104.6903773,104.7692989,105.1687188,102.5877315,103.2365261,104.0901052,104.4307921,104.6439542,105.2015266,105.8196035,106.0215955,106.6750442,107.5686494,108.8001489,109.1948245,103.9281381,104.7903748,105.8278771,106.4003529,106.5879488,107.4880569,108.2842386,109.0372645,109.7136667,110.3345827,110.9695905,111.3932226,103.9413913,104.5209477,104.8009306,104.7797074,104.5519662,104.6580822,105.1625411,105.7445463,106.2139053,106.6130645,107.2954717,108.0529763,103.3070424,103.4045055,103.7015359,103.911159
812,98.54330184,98.91871774,99.23868299,98.90223241,98.74187512,99.12328569,99.65456288,100.2359787,100.659896,101.1815635,102.0423649,102.7575382,102.845314,102.8163879,103.2123765,103.2672363,102.9699955,103.0358274,103.4228389,103.4058822,103.6771892,104.23676,105.0776123,105.6641143,102.4507382,102.8761445,102.8270592,101.7847175,102.1764378,102.7356257,103.4103086,103.8174282,104.0551552,104.6903773,104.7692989,105.1687188,102.5877315,103.2365261,104.0901052,104.4307921,104.6439542,105.2015266,105.8196035,106.0215955,106.6750442,107.5686494,108.8001489,109.1948245,103.9281381,104.7903748,105.8278771,106.4003529,106.5879488,107.4880569,108.2842386,109.0372645,109.7136667,110.3345827,110.9695905,111.3932226,103.9413913,104.5209477,104.8009306,104.7797074,104.5519662,104.6580822,105.1625411,105.7445463,106.2139053,106.6130645,107.2954717,108.0529763,103.3070424,103.4045055,103.7015359,103.911159
